Time (s),X (m),Y (m)
23.91,0.460,6.979
23.93,0.455,6.982
23.94,0.451,6.984
23.94,0.447,6.987
23.95,0.442,6.989
23.97,0.438,6.992
23.98,0.433,6.994
23.98,0.429,6.996
23.99,0.425,6.999
24.01,0.420,7.001
24.02,0.416,7.004
24.03,0.412,7.006
24.04,0.407,7.008
24.05,0.403,7.011
24.05,0.398,7.013
24.06,0.394,7.016
24.08,0.390,7.018
24.09,0.385,7.021
24.10,0.381,7.023
24.12,0.377,7.025
24.12,0.372,7.028
24.13,0.368,7.030
24.14,0.363,7.033
24.15,0.359,7.035
24.16,0.355,7.037
24.16,0.350,7.040
24.17,0.346,7.042
24.18,0.342,7.045
24.20,0.337,7.047
24.21,0.333,7.049
24.22,0.328,7.052
24.23,0.324,7.054
24.24,0.320,7.057
24.25,0.315,7.059
24.26,0.311,7.062
24.27,0.306,7.064
24.28,0.302,7.066
24.29,0.298,7.069
24.30,0.293,7.071
24.31,0.289,7.074
24.32,0.285,7.076
24.33,0.280,7.078
24.34,0.276,7.081
24.35,0.271,7.083
24.36,0.267,7.086
24.37,0.263,7.088
24.38,0.258,7.091
24.39,0.254,7.093
24.40,0.250,7.095
24.41,0.245,7.098
24.42,0.241,7.100
24.42,0.236,7.103
24.43,0.232,7.105
24.45,0.228,7.107
24.46,0.223,7.110
24.47,0.219,7.112
24.48,0.215,7.115
24.49,0.210,7.117
24.50,0.206,7.119
24.51,0.201,7.122
24.52,0.197,7.124
24.53,0.193,7.127
24.54,0.188,7.129
24.55,0.184,7.132
24.56,0.179,7.134
24.57,0.175,7.136
24.58,0.171,7.139
24.58,0.166,7.141
24.60,0.162,7.144
24.61,0.158,7.146
24.62,0.153,7.148
24.62,0.149,7.151
24.63,0.144,7.153
24.65,0.140,7.156
24.66,0.136,7.158
24.67,0.131,7.160
24.68,0.127,7.163
24.69,0.123,7.165
24.70,0.118,7.168
24.71,0.114,7.170
24.72,0.109,7.173
24.73,0.105,7.175
24.74,0.101,7.177
24.75,0.096,7.180
24.77,0.092,7.182
24.78,0.087,7.185
24.78,0.083,7.187
24.80,0.079,7.189
24.80,0.074,7.192
24.82,0.070,7.194
24.82,0.066,7.197
24.83,0.061,7.199
24.84,0.057,7.201
24.85,0.052,7.204
24.86,0.048,7.206
24.87,0.044,7.209
24.89,0.035,7.213
24.90,0.031,7.216
24.91,0.026,7.218
24.93,0.022,7.221
24.93,0.017,7.223
24.94,0.013,7.225
24.96,0.009,7.228
24.96,0.004,7.230
24.97,-0.000,7.233
24.98,-0.005,7.235
25.00,-0.009,7.238
25.01,-0.013,7.240
25.01,-0.018,7.242
25.02,-0.022,7.245
25.04,-0.026,7.247
25.04,-0.031,7.250
25.05,-0.035,7.252
25.06,-0.040,7.254
25.08,-0.044,7.257
25.08,-0.048,7.259
25.09,-0.053,7.262
25.10,-0.057,7.264
25.12,-0.062,7.266
25.12,-0.066,7.269
25.13,-0.070,7.271
25.14,-0.075,7.274
25.16,-0.079,7.276
25.16,-0.083,7.278
25.17,-0.088,7.281
25.18,-0.092,7.283
25.20,-0.097,7.286
25.20,-0.101,7.288
25.22,-0.105,7.290
25.23,-0.110,7.293
25.23,-0.114,7.295
25.24,-0.119,7.298
25.26,-0.123,7.300
25.27,-0.127,7.302
25.28,-0.132,7.305
25.28,-0.136,7.307
25.29,-0.140,7.310
25.30,-0.145,7.312
25.31,-0.149,7.315
25.32,-0.154,7.317
25.34,-0.158,7.319
25.35,-0.162,7.322
25.36,-0.167,7.324
25.37,-0.171,7.327
25.38,-0.175,7.329
25.39,-0.180,7.331
25.40,-0.184,7.334
25.42,-0.189,7.336
25.42,-0.193,7.339
25.43,-0.197,7.341
25.44,-0.202,7.343
25.45,-0.206,7.346
25.46,-0.211,7.348
25.47,-0.215,7.351
25.48,-0.219,7.353
25.50,-0.224,7.355
25.50,-0.228,7.358
25.51,-0.232,7.360
25.52,-0.237,7.363
25.53,-0.241,7.365
25.54,-0.246,7.367
25.55,-0.250,7.370
25.56,-0.254,7.372
25.57,-0.259,7.375
25.58,-0.263,7.377
25.59,-0.268,7.379
25.60,-0.272,7.382
25.62,-0.276,7.384
25.62,-0.281,7.387
25.63,-0.285,7.389
25.64,-0.290,7.391
25.65,-0.294,7.394
25.66,-0.298,7.396
25.67,-0.303,7.399
25.68,-0.307,7.401
25.69,-0.311,7.403
25.70,-0.316,7.406
25.72,-0.320,7.408
25.72,-0.325,7.411
25.73,-0.329,7.413
25.74,-0.333,7.415
25.75,-0.338,7.418
25.76,-0.342,7.420
25.77,-0.347,7.423
25.78,-0.351,7.425
25.80,-0.355,7.427
25.80,-0.360,7.430
25.81,-0.364,7.432
25.82,-0.368,7.435
25.83,-0.373,7.437
25.84,-0.377,7.439
25.85,-0.382,7.442
25.86,-0.386,7.444
25.87,-0.390,7.447
25.88,-0.395,7.449
25.89,-0.399,7.451
25.90,-0.404,7.454
25.92,-0.408,7.456
25.92,-0.412,7.459
25.94,-0.417,7.461
25.95,-0.421,7.463
25.95,-0.426,7.466
25.96,-0.430,7.468
25.97,-0.434,7.471
25.99,-0.439,7.473
26.00,-0.443,7.475
26.01,-0.447,7.478
26.02,-0.452,7.480
26.03,-0.456,7.483
26.04,-0.461,7.485
26.04,-0.465,7.487
26.06,-0.469,7.490
26.07,-0.474,7.492
26.09,-0.478,7.494
26.09,-0.483,7.497
26.10,-0.487,7.499
26.11,-0.491,7.502
26.12,-0.496,7.504
26.13,-0.500,7.506
26.14,-0.505,7.509
26.15,-0.509,7.511
26.16,-0.513,7.514
26.17,-0.518,7.516
26.18,-0.522,7.518
26.19,-0.526,7.521
26.20,-0.531,7.523
26.21,-0.535,7.526
26.22,-0.540,7.528
26.24,-0.544,7.530
26.24,-0.548,7.533
26.25,-0.553,7.535
26.26,-0.557,7.538
26.27,-0.562,7.540
26.28,-0.566,7.542
26.29,-0.570,7.545
26.30,-0.575,7.547
26.31,-0.579,7.550
26.32,-0.584,7.552
26.33,-0.588,7.554
26.34,-0.592,7.557
26.35,-0.597,7.559
26.36,-0.601,7.561
26.37,-0.605,7.564
26.38,-0.610,7.566
26.39,-0.614,7.569
26.40,-0.619,7.571
26.41,-0.623,7.573
26.42,-0.627,7.576
26.43,-0.632,7.578
26.44,-0.636,7.581
26.45,-0.641,7.583
26.46,-0.645,7.585
26.47,-0.649,7.588
26.48,-0.654,7.590
26.49,-0.658,7.593
26.50,-0.663,7.595
26.51,-0.667,7.597
26.53,-0.671,7.600
26.54,-0.676,7.602
26.54,-0.680,7.605
26.55,-0.685,7.607
26.56,-0.689,7.609
26.57,-0.693,7.612
26.58,-0.698,7.614
26.60,-0.702,7.616
26.60,-0.707,7.619
26.62,-0.711,7.621
26.62,-0.715,7.624
26.64,-0.720,7.626
26.65,-0.724,7.628
26.65,-0.728,7.631
26.66,-0.733,7.633
26.68,-0.737,7.636
26.68,-0.742,7.638
26.69,-0.746,7.640
26.71,-0.750,7.643
26.72,-0.755,7.645
26.72,-0.759,7.647
26.73,-0.764,7.650
26.75,-0.768,7.652
26.76,-0.772,7.655
26.76,-0.777,7.657
26.78,-0.781,7.659
26.79,-0.786,7.662
26.80,-0.790,7.664
26.81,-0.794,7.667
26.82,-0.799,7.669
26.83,-0.803,7.671
26.84,-0.808,7.674
26.85,-0.812,7.676
26.86,-0.816,7.679
26.87,-0.821,7.681
26.88,-0.825,7.683
26.89,-0.830,7.686
26.89,-0.834,7.688
26.90,-0.838,7.690
26.91,-0.843,7.693
26.93,-0.847,7.695
26.94,-0.852,7.698
26.94,-0.856,7.700
26.96,-0.860,7.702
26.97,-0.865,7.705
26.97,-0.869,7.707
26.98,-0.873,7.709
27.00,-0.878,7.712
27.01,-0.882,7.714
27.02,-0.887,7.717
27.03,-0.891,7.719
27.04,-0.895,7.721
27.05,-0.900,7.724
27.05,-0.904,7.726
27.06,-0.909,7.729
27.08,-0.913,7.731
27.08,-0.917,7.733
27.09,-0.922,7.736
27.11,-0.926,7.738
27.12,-0.931,7.740
27.13,-0.935,7.743
27.13,-0.939,7.745
27.15,-0.944,7.748
27.16,-0.948,7.750
27.17,-0.953,7.752
27.17,-0.957,7.755
27.19,-0.961,7.757
27.19,-0.966,7.760
27.20,-0.970,7.762
27.22,-0.975,7.764
27.23,-0.979,7.767
27.24,-0.983,7.769
27.25,-0.988,7.771
27.26,-0.992,7.774
27.27,-0.997,7.776
27.27,-1.001,7.779
27.29,-1.005,7.781
27.30,-1.010,7.783
27.30,-1.014,7.786
27.31,-1.019,7.788
27.32,-1.023,7.790
27.33,-1.027,7.793
27.34,-1.032,7.795
27.35,-1.036,7.798
27.37,-1.041,7.800
27.37,-1.045,7.802
27.38,-1.049,7.805
27.40,-1.054,7.807
27.41,-1.058,7.809
27.41,-1.063,7.812
27.42,-1.067,7.814
27.44,-1.071,7.817
27.45,-1.076,7.819
27.46,-1.080,7.821
27.47,-1.085,7.824
27.48,-1.089,7.826
27.49,-1.093,7.828
27.50,-1.098,7.831
27.51,-1.102,7.833
27.52,-1.107,7.836
27.53,-1.111,7.838
27.54,-1.115,7.840
27.55,-1.120,7.843
27.56,-1.124,7.845
27.57,-1.129,7.847
27.58,-1.133,7.850
27.59,-1.137,7.852
27.59,-1.142,7.855
27.60,-1.146,7.857
27.62,-1.151,7.859
27.63,-1.155,7.862
27.64,-1.159,7.864
27.65,-1.164,7.867
27.66,-1.168,7.869
27.67,-1.173,7.871
27.67,-1.177,7.874
27.69,-1.181,7.876
27.70,-1.186,7.878
27.71,-1.190,7.881
27.72,-1.195,7.883
27.73,-1.199,7.886
27.74,-1.203,7.888
27.75,-1.208,7.890
27.76,-1.212,7.893
27.77,-1.217,7.895
27.78,-1.221,7.897
27.79,-1.225,7.900
27.81,-1.230,7.902
27.81,-1.234,7.904
27.82,-1.239,7.907
27.84,-1.243,7.909
27.84,-1.247,7.912
27.85,-1.252,7.914
27.86,-1.256,7.916
27.87,-1.261,7.919
27.88,-1.265,7.921
27.89,-1.269,7.923
27.90,-1.274,7.926
27.91,-1.278,7.928
27.92,-1.283,7.931
27.93,-1.287,7.933
27.94,-1.291,7.935
27.95,-1.296,7.938
27.96,-1.300,7.940
27.97,-1.305,7.942
27.98,-1.309,7.945
27.99,-1.313,7.947
28.00,-1.318,7.950
28.01,-1.322,7.952
28.02,-1.327,7.954
28.03,-1.331,7.957
28.04,-1.335,7.959
28.05,-1.340,7.961
28.06,-1.344,7.964
28.07,-1.349,7.966
28.08,-1.353,7.969
28.09,-1.357,7.971
28.11,-1.362,7.973
28.11,-1.366,7.976
28.12,-1.371,7.978
28.13,-1.375,7.980
28.14,-1.379,7.983
28.15,-1.384,7.985
28.16,-1.388,7.988
28.17,-1.393,7.990
28.18,-1.397,7.992
28.19,-1.401,7.995
28.20,-1.406,7.997
28.21,-1.410,7.999
28.22,-1.415,8.002
28.23,-1.419,8.004
28.24,-1.423,8.006
28.25,-1.428,8.009
28.26,-1.432,8.011
28.27,-1.437,8.014
28.28,-1.441,8.016
28.29,-1.445,8.018
28.30,-1.450,8.021
28.31,-1.454,8.023
28.33,-1.459,8.025
28.33,-1.463,8.028
28.34,-1.467,8.030
28.36,-1.472,8.033
28.36,-1.476,8.035
28.37,-1.481,8.037
28.38,-1.485,8.040
28.39,-1.489,8.042
28.40,-1.494,8.044
28.41,-1.498,8.047
28.42,-1.503,8.049
28.43,-1.507,8.051
28.44,-1.511,8.054
28.45,-1.516,8.056
28.46,-1.520,8.059
28.47,-1.525,8.061
28.48,-1.529,8.063
28.49,-1.534,8.066
28.50,-1.538,8.068
28.51,-1.542,8.070
28.53,-1.547,8.073
28.54,-1.551,8.075
28.55,-1.556,8.078
28.56,-1.560,8.080
28.57,-1.564,8.082
28.58,-1.569,8.085
28.59,-1.573,8.087
28.60,-1.578,8.089
28.61,-1.582,8.092
28.62,-1.586,8.094
28.63,-1.591,8.096
28.64,-1.595,8.099
28.65,-1.600,8.101
28.66,-1.604,8.104
28.67,-1.608,8.106
28.68,-1.613,8.108
28.69,-1.617,8.111
28.70,-1.622,8.113
28.71,-1.626,8.115
28.72,-1.630,8.118
28.73,-1.635,8.120
28.74,-1.639,8.122
28.75,-1.644,8.125
28.76,-1.648,8.127
28.77,-1.652,8.130
28.78,-1.657,8.132
28.79,-1.661,8.134
28.80,-1.666,8.137
28.81,-1.670,8.139
28.82,-1.674,8.141
28.83,-1.679,8.144
28.84,-1.683,8.146
28.85,-1.688,8.148
28.86,-1.692,8.151
28.87,-1.696,8.153
28.88,-1.701,8.156
28.88,-1.705,8.158
28.90,-1.710,8.160
28.91,-1.714,8.163
28.92,-1.719,8.165
28.93,-1.723,8.167
28.93,-1.727,8.170
28.95,-1.732,8.172
28.96,-1.736,8.174
28.97,-1.741,8.177
28.98,-1.745,8.179
28.99,-1.749,8.182
29.00,-1.754,8.184
29.01,-1.758,8.186
29.02,-1.763,8.189
29.03,-1.767,8.191
29.05,-1.771,8.193
29.05,-1.776,8.196
29.06,-1.780,8.198
29.07,-1.785,8.200
29.08,-1.789,8.203
29.09,-1.793,8.205
29.10,-1.798,8.208
29.12,-1.802,8.210
29.12,-1.807,8.212
29.13,-1.811,8.215
29.14,-1.815,8.217
29.16,-1.820,8.219
29.16,-1.824,8.222
29.17,-1.829,8.224
29.19,-1.833,8.226
29.19,-1.838,8.229
29.20,-1.842,8.231
29.21,-1.846,8.234
29.22,-1.851,8.236
29.23,-1.855,8.238
29.24,-1.860,8.241
29.26,-1.864,8.243
29.26,-1.868,8.245
29.27,-1.873,8.248
29.28,-1.877,8.250
29.29,-1.882,8.252
29.30,-1.886,8.255
29.31,-1.890,8.257
29.32,-1.895,8.259
29.33,-1.899,8.262
29.34,-1.904,8.264
29.35,-1.908,8.267
29.36,-1.912,8.269
29.37,-1.917,8.271
29.38,-1.921,8.274
29.39,-1.926,8.276
29.40,-1.930,8.278
29.41,-1.934,8.281
29.42,-1.939,8.283
29.43,-1.943,8.285
29.44,-1.948,8.288
29.45,-1.952,8.290
29.47,-1.957,8.292
29.47,-1.961,8.295
29.48,-1.965,8.297
29.49,-1.970,8.300
29.50,-1.974,8.302
29.51,-1.979,8.304
29.52,-1.983,8.307
29.53,-1.987,8.309
29.54,-1.992,8.311
29.55,-1.996,8.314
29.57,-2.001,8.316
29.58,-2.005,8.318
29.58,-2.009,8.321
29.59,-2.014,8.323
29.61,-2.018,8.325
29.62,-2.023,8.328
29.63,-2.027,8.330
29.64,-2.032,8.333
29.65,-2.036,8.335
29.66,-2.040,8.337
29.67,-2.045,8.340
29.68,-2.049,8.342
29.69,-2.054,8.344
29.70,-2.058,8.347
29.71,-2.062,8.349
29.72,-2.067,8.351
29.73,-2.071,8.354
29.74,-2.076,8.356
29.75,-2.080,8.358
29.76,-2.084,8.361
29.77,-2.089,8.363
29.78,-2.093,8.366
29.79,-2.098,8.368
29.80,-2.102,8.370
29.81,-2.106,8.373
29.82,-2.111,8.375
29.83,-2.115,8.377
29.84,-2.120,8.380
29.85,-2.124,8.382
29.86,-2.129,8.384
29.87,-2.133,8.387
29.88,-2.137,8.389
29.89,-2.142,8.391
29.90,-2.146,8.394
29.91,-2.151,8.396
29.92,-2.155,8.398
29.93,-2.159,8.401
29.94,-2.164,8.403
29.95,-2.168,8.406
29.96,-2.173,8.408
29.97,-2.177,8.410
29.98,-2.181,8.413
29.99,-2.186,8.415
30.00,-2.190,8.417
30.01,-2.195,8.420
30.02,-2.199,8.422
30.03,-2.204,8.424
30.04,-2.208,8.427
30.06,-2.212,8.429
30.07,-2.217,8.431
30.07,-2.221,8.434
30.08,-2.226,8.436
30.09,-2.230,8.438
30.10,-2.234,8.441
30.12,-2.239,8.443
30.13,-2.243,8.446
30.13,-2.248,8.448
30.14,-2.252,8.450
30.16,-2.256,8.453
30.16,-2.261,8.455
30.17,-2.265,8.457
30.18,-2.270,8.460
30.20,-2.274,8.462
30.20,-2.279,8.464
30.21,-2.283,8.467
30.22,-2.287,8.469
30.24,-2.292,8.471
30.24,-2.296,8.474
30.25,-2.301,8.476
30.27,-2.305,8.478
30.27,-2.309,8.481
30.28,-2.314,8.483
30.29,-2.318,8.486
30.31,-2.323,8.488
30.31,-2.327,8.490
30.33,-2.331,8.493
30.34,-2.336,8.495
30.34,-2.340,8.497
30.35,-2.345,8.500
30.36,-2.349,8.502
30.38,-2.354,8.504
30.38,-2.358,8.507
30.39,-2.362,8.509
30.41,-2.367,8.511
30.42,-2.371,8.514
30.43,-2.376,8.516
30.45,-2.380,8.518
30.45,-2.384,8.521
30.46,-2.389,8.523
30.47,-2.393,8.525
30.48,-2.398,8.528
30.49,-2.402,8.530
30.50,-2.407,8.532
30.51,-2.411,8.535
30.52,-2.415,8.537
30.53,-2.420,8.540
30.54,-2.424,8.542
30.55,-2.429,8.544
30.56,-2.433,8.547
30.56,-2.437,8.549
30.58,-2.442,8.551
30.59,-2.446,8.554
30.60,-2.451,8.556
30.61,-2.455,8.558
30.62,-2.460,8.561
30.63,-2.464,8.563
30.64,-2.468,8.565
30.65,-2.473,8.568
30.66,-2.477,8.570
30.67,-2.482,8.572
30.68,-2.486,8.575
30.69,-2.490,8.577
30.70,-2.495,8.579
30.71,-2.499,8.582
30.72,-2.504,8.584
30.73,-2.508,8.586
30.74,-2.513,8.589
30.75,-2.517,8.591
30.76,-2.521,8.593
30.77,-2.526,8.596
30.78,-2.530,8.598
30.79,-2.535,8.601
30.80,-2.539,8.603
30.82,-2.543,8.605
30.82,-2.548,8.608
30.83,-2.552,8.610
30.85,-2.557,8.612
30.86,-2.561,8.615
30.86,-2.565,8.617
30.87,-2.570,8.619
30.89,-2.574,8.622
30.89,-2.579,8.624
30.90,-2.583,8.626
30.92,-2.588,8.629
30.92,-2.592,8.631
30.93,-2.596,8.633
30.94,-2.601,8.636
30.96,-2.605,8.638
30.96,-2.610,8.640
30.97,-2.614,8.643
30.99,-2.618,8.645
31.00,-2.623,8.647
31.01,-2.627,8.650
31.02,-2.632,8.652
31.03,-2.636,8.654
31.04,-2.641,8.657
31.05,-2.645,8.659
31.06,-2.649,8.661
31.07,-2.654,8.664
31.08,-2.658,8.666
31.09,-2.663,8.668
31.10,-2.667,8.671
31.11,-2.672,8.673
31.12,-2.676,8.675
31.13,-2.680,8.678
31.14,-2.685,8.680
31.15,-2.689,8.683
31.16,-2.694,8.685
31.17,-2.698,8.687
31.18,-2.702,8.690
31.19,-2.707,8.692
31.20,-2.711,8.694
31.20,-2.716,8.697
31.22,-2.720,8.699
31.23,-2.725,8.701
31.24,-2.729,8.704
31.25,-2.733,8.706
31.26,-2.738,8.708
31.27,-2.742,8.711
31.28,-2.747,8.713
31.29,-2.751,8.715
31.30,-2.755,8.718
31.31,-2.760,8.720
31.32,-2.764,8.722
31.33,-2.769,8.725
31.34,-2.773,8.727
31.34,-2.778,8.729
31.36,-2.782,8.732
31.37,-2.786,8.734
31.38,-2.791,8.736
31.39,-2.795,8.739
31.40,-2.800,8.741
31.41,-2.804,8.743
31.42,-2.809,8.746
31.43,-2.813,8.748
31.44,-2.817,8.750
31.45,-2.822,8.753
31.47,-2.826,8.755
31.47,-2.831,8.757
31.48,-2.835,8.760
31.49,-2.839,8.762
31.50,-2.844,8.764
31.51,-2.848,8.767
31.52,-2.853,8.769
31.53,-2.857,8.771
31.54,-2.862,8.774
31.55,-2.866,8.776
31.56,-2.870,8.778
31.57,-2.875,8.781
31.58,-2.879,8.783
31.59,-2.884,8.785
31.60,-2.888,8.788
31.60,-2.892,8.790
31.61,-2.897,8.792
31.63,-2.901,8.795
31.64,-2.906,8.797
31.64,-2.910,8.799
31.65,-2.915,8.802
31.67,-2.919,8.804
31.68,-2.923,8.806
31.69,-2.928,8.809
31.70,-2.932,8.811
31.71,-2.937,8.813
31.72,-2.941,8.816
31.73,-2.946,8.818
31.74,-2.950,8.820
31.75,-2.954,8.823
31.76,-2.959,8.825
31.77,-2.963,8.827
31.78,-2.968,8.830
31.79,-2.972,8.832
31.80,-2.977,8.834
31.81,-2.981,8.837
31.82,-2.985,8.839
31.83,-2.990,8.841
31.84,-2.994,8.844
31.85,-2.999,8.846
31.86,-3.003,8.848
31.87,-3.007,8.851
31.88,-3.012,8.853
31.89,-3.016,8.855
31.90,-3.021,8.858
31.91,-3.025,8.860
31.92,-3.030,8.862
31.93,-3.034,8.865
31.95,-3.038,8.867
31.96,-3.043,8.869
31.97,-3.047,8.872
31.98,-3.052,8.874
31.99,-3.056,8.876
31.99,-3.061,8.879
32.00,-3.065,8.881
32.01,-3.069,8.883
32.02,-3.074,8.886
32.03,-3.078,8.888
32.04,-3.083,8.890
32.06,-3.087,8.893
32.07,-3.092,8.895
32.08,-3.096,8.897
32.09,-3.100,8.900
32.10,-3.105,8.902
32.11,-3.109,8.904
32.12,-3.114,8.907
32.13,-3.118,8.909
32.14,-3.123,8.911
32.15,-3.127,8.914
32.16,-3.131,8.916
32.17,-3.136,8.918
32.18,-3.140,8.920
32.19,-3.145,8.923
32.20,-3.149,8.925
32.22,-3.154,8.927
32.22,-3.158,8.930
32.23,-3.162,8.932
32.24,-3.167,8.934
32.26,-3.171,8.937
32.26,-3.176,8.939
32.27,-3.180,8.941
32.29,-3.185,8.944
32.30,-3.189,8.946
32.31,-3.193,8.948
32.32,-3.198,8.951
32.33,-3.202,8.953
32.33,-3.207,8.955
32.35,-3.211,8.958
32.36,-3.216,8.960
32.37,-3.220,8.962
32.38,-3.224,8.965
32.39,-3.229,8.967
32.40,-3.233,8.969
32.41,-3.238,8.972
32.42,-3.242,8.974
32.43,-3.247,8.976
32.44,-3.251,8.979
32.45,-3.255,8.981
32.46,-3.260,8.983
32.47,-3.264,8.986
32.48,-3.269,8.988
32.50,-3.273,8.990
32.50,-3.278,8.992
32.51,-3.282,8.995
32.52,-3.286,8.997
32.53,-3.291,8.999
32.54,-3.295,9.002
32.55,-3.300,9.004
32.56,-3.304,9.006
32.57,-3.309,9.009
32.58,-3.313,9.011
32.59,-3.317,9.013
32.60,-3.322,9.016
32.61,-3.326,9.018
32.61,-3.331,9.020
32.63,-3.335,9.023
32.63,-3.340,9.025
32.64,-3.344,9.027
32.65,-3.348,9.030
32.67,-3.353,9.032
32.68,-3.357,9.034
32.69,-3.362,9.036
32.70,-3.366,9.039
32.71,-3.371,9.041
32.72,-3.375,9.043
32.73,-3.379,9.046
32.74,-3.384,9.048
32.75,-3.388,9.050
32.77,-3.393,9.053
32.77,-3.397,9.055
32.78,-3.402,9.057
32.79,-3.406,9.060
32.80,-3.410,9.062
32.81,-3.415,9.064
32.82,-3.419,9.066
32.83,-3.424,9.069
32.84,-3.428,9.071
32.85,-3.433,9.073
32.86,-3.437,9.076
32.87,-3.442,9.078
32.88,-3.446,9.080
32.89,-3.450,9.083
32.90,-3.455,9.085
32.90,-3.459,9.087
32.91,-3.464,9.090
32.93,-3.468,9.092
32.93,-3.473,9.094
32.94,-3.477,9.096
32.95,-3.481,9.099
32.96,-3.486,9.101
32.97,-3.490,9.103
32.98,-3.495,9.106
32.99,-3.499,9.108
33.00,-3.504,9.110
33.01,-3.508,9.113
33.03,-3.513,9.115
33.03,-3.517,9.117
33.04,-3.521,9.120
33.06,-3.526,9.122
33.07,-3.530,9.124
33.08,-3.535,9.126
33.09,-3.539,9.129
33.10,-3.544,9.131
33.11,-3.548,9.133
33.12,-3.552,9.136
33.13,-3.557,9.138
33.14,-3.561,9.140
33.15,-3.566,9.143
33.16,-3.570,9.145
33.17,-3.575,9.147
33.18,-3.579,9.149
33.19,-3.584,9.152
33.20,-3.588,9.154
33.21,-3.592,9.156
33.22,-3.597,9.159
33.23,-3.601,9.161
33.24,-3.606,9.163
33.25,-3.610,9.166
33.27,-3.615,9.168
33.28,-3.619,9.170
33.29,-3.624,9.172
33.30,-3.628,9.175
33.30,-3.632,9.177
33.31,-3.637,9.179
33.32,-3.641,9.182
33.33,-3.646,9.184
33.34,-3.650,9.186
33.36,-3.655,9.189
33.37,-3.659,9.191
33.37,-3.663,9.193
33.39,-3.668,9.195
33.39,-3.672,9.198
33.40,-3.677,9.200
33.41,-3.681,9.202
33.42,-3.686,9.205
33.43,-3.690,9.207
33.44,-3.695,9.209
33.46,-3.699,9.211
33.46,-3.703,9.214
33.47,-3.708,9.216
33.48,-3.712,9.218
33.49,-3.717,9.221
33.50,-3.721,9.223
33.51,-3.726,9.225
33.52,-3.730,9.227
33.53,-3.735,9.230
33.54,-3.739,9.232
33.55,-3.743,9.234
33.56,-3.748,9.237
33.57,-3.752,9.239
33.58,-3.757,9.241
33.59,-3.761,9.244
33.60,-3.766,9.246
33.61,-3.770,9.248
33.62,-3.775,9.250
33.63,-3.779,9.253
33.64,-3.783,9.255
33.65,-3.788,9.257
33.66,-3.792,9.260
33.67,-3.797,9.262
33.68,-3.801,9.264
33.70,-3.806,9.266
33.70,-3.810,9.269
33.71,-3.815,9.271
33.72,-3.819,9.273
33.73,-3.824,9.276
33.74,-3.828,9.278
33.75,-3.832,9.280
33.77,-3.837,9.282
33.78,-3.841,9.285
33.79,-3.846,9.287
33.80,-3.850,9.289
33.81,-3.855,9.291
33.82,-3.859,9.294
33.82,-3.864,9.296
33.83,-3.868,9.298
33.84,-3.872,9.301
33.86,-3.877,9.303
33.87,-3.881,9.305
33.88,-3.886,9.307
33.89,-3.890,9.310
33.90,-3.895,9.312
33.90,-3.899,9.314
33.92,-3.904,9.317
33.92,-3.908,9.319
33.93,-3.913,9.321
33.95,-3.917,9.323
33.95,-3.921,9.326
33.96,-3.926,9.328
33.97,-3.930,9.330
33.99,-3.935,9.333
33.99,-3.939,9.335
34.00,-3.944,9.337
34.02,-3.948,9.339
34.03,-3.953,9.342
34.04,-3.957,9.344
34.05,-3.961,9.346
34.06,-3.966,9.348
34.07,-3.970,9.351
34.08,-3.975,9.353
34.09,-3.979,9.355
34.10,-3.984,9.358
34.11,-3.988,9.360
34.12,-3.993,9.362
34.13,-3.997,9.364
34.14,-4.002,9.367
34.15,-4.006,9.369
34.16,-4.010,9.371
34.17,-4.015,9.373
34.18,-4.019,9.376
34.19,-4.024,9.378
34.20,-4.028,9.380
34.21,-4.033,9.382
34.22,-4.037,9.385
34.23,-4.042,9.387
34.24,-4.046,9.389
34.25,-4.051,9.392
34.26,-4.055,9.394
34.27,-4.059,9.396
34.28,-4.064,9.398
34.29,-4.068,9.401
34.30,-4.073,9.403
34.31,-4.077,9.405
34.32,-4.082,9.407
34.33,-4.086,9.410
34.34,-4.091,9.412
34.35,-4.095,9.414
34.36,-4.100,9.416
34.37,-4.104,9.419
34.39,-4.109,9.421
34.39,-4.113,9.423
34.40,-4.117,9.426
34.41,-4.122,9.428
34.42,-4.126,9.430
34.43,-4.131,9.432
34.44,-4.135,9.435
34.45,-4.140,9.437
34.46,-4.144,9.439
34.47,-4.149,9.441
34.48,-4.153,9.444
34.49,-4.158,9.446
34.50,-4.162,9.448
34.51,-4.166,9.450
34.52,-4.171,9.453
34.53,-4.175,9.455
34.55,-4.180,9.457
34.56,-4.184,9.459
34.56,-4.189,9.462
34.58,-4.193,9.464
34.58,-4.198,9.466
34.59,-4.202,9.468
34.60,-4.207,9.471
34.62,-4.211,9.473
34.63,-4.216,9.475
34.64,-4.220,9.477
34.65,-4.225,9.480
34.66,-4.229,9.482
34.66,-4.233,9.484
34.68,-4.238,9.486
34.69,-4.242,9.489
34.70,-4.247,9.491
34.71,-4.251,9.493
34.72,-4.256,9.495
34.73,-4.260,9.498
34.74,-4.265,9.500
34.75,-4.269,9.502
34.76,-4.274,9.504
34.77,-4.278,9.507
34.78,-4.283,9.509
34.79,-4.287,9.511
34.80,-4.291,9.513
34.81,-4.296,9.516
34.83,-4.300,9.518
34.83,-4.305,9.520
34.84,-4.309,9.522
34.85,-4.314,9.525
34.86,-4.318,9.527
