time,v_rl,v_rr,delta_fl,delta_fr
38.96079182624817,0.49399331948530006,0.5056927552022723,0.03615309778537501,0.035247911618569105
38.97885489463806,0.4940129854225704,0.5056533882030169,0.036041359237902526,0.03514182662691123
38.99768352508545,0.4940413156246873,0.5056541166487828,0.03600458560279041,0.035106990748824174
39.01534152030945,0.4940914216252884,0.5056739425099809,0.035930647248761716,0.03503669803457132
39.03237771987915,0.49415012537107883,0.5057118708811649,0.03585651316950145,0.03496610836280478
39.051448822021484,0.4942167242872484,0.5057544027548238,0.03574309597525893,0.03485801846334713
39.06948184967041,0.49427072149775964,0.5058047078680049,0.03566524623097678,0.03478367694296036
39.08833837509155,0.4939492134569754,0.5061371237694126,0.03764980503869442,0.03667009622319384
39.10676431655884,0.49397869248482135,0.5061858744565924,0.03763241011353902,0.036653248730042165
39.12325429916382,0.49398909949578385,0.5062020782822035,0.03756008160741153,0.036584247916637835
39.13945722579956,0.49398097336065555,0.5061782372621683,0.037444858445133455,0.036474576211212195
39.15775442123413,0.4939589231519269,0.5061618847664683,0.03744485681276011,0.03647448791504715
39.17550730705261,0.4939188978262307,0.50609425195371,0.03736445808432176,0.03639807871314993
39.194093227386475,0.49387000307109385,0.5060138173911677,0.037322964392976665,0.03635876441292929
39.21466827392578,0.49383964768513927,0.5059266354810503,0.03723845844620399,0.03627870216209583
39.23588299751282,0.49384480146664955,0.5058432250833708,0.037067474644633336,0.03611651737128696
39.25482416152954,0.4938517197611485,0.5058065919093052,0.03702457051956731,0.03607598242657506
39.27343964576721,0.4938926432299984,0.5057851130617165,0.036900001773094715,0.03595777897260888
39.293845653533936,0.4935841724660211,0.5061060372005919,0.038886965280268804,0.037843534096329456
39.31400775909424,0.4936568766704658,0.5061544471837583,0.03883329855138751,0.03779263146785805
39.33217406272888,0.493721673772848,0.5062068546708687,0.03876103758859717,0.037723991752794284
39.351457595825195,0.4937448918575361,0.5062398989894199,0.038761038790028124,0.03772388178607233
39.37063503265381,0.49379513158175203,0.506293192214111,0.0386868414492465,0.03765326046804329
39.386226415634155,0.49381492361397133,0.5063468379047458,0.03868684212324869,0.03765291944964222
39.405778884887695,0.4938384966447405,0.5063547723850051,0.03852868673549814,0.037502625407392465
39.42422366142273,0.4938257702680217,0.5063427279578384,0.038443763610795934,0.03742181106258524
39.44365668296814,0.4937944309967311,0.5062954678955743,0.038354474765600166,0.03733697245381418
39.46103382110596,0.493763541878704,0.5062120559356488,0.03821413382743888,0.03720385602644516
