front_left_steering,front_right_steering
-2.1341135081343054e-08,-5.4480054245686915e-08
-2.134115284491145e-08,-5.4480000066803314e-08
-2.1341170608479842e-08,-5.447994588791971e-08
-2.1341190148405076e-08,-5.447989170903611e-08
-2.134120880015189e-08,-5.447983664197409e-08
-2.1341225675541864e-08,-5.447978246309049e-08
-2.1341246103645517e-08,-5.4479728284206885e-08
-2.134126209085707e-08,-5.4479674105323284e-08
-2.1341281630782305e-08,-5.447961903826126e-08
-2.13412993943507e-08,-5.447956485937766e-08
-2.1341318046097513e-08,-5.447951068049406e-08
-2.1341335809665907e-08,-5.447945650161046e-08
-2.134135446141272e-08,-5.4479402322726855e-08
-2.1341373113159534e-08,-5.4479347255664834e-08
-2.1341391764906348e-08,-5.447929307678123e-08
-2.1341409528474742e-08,-5.447923889789763e-08
-2.1341428180221556e-08,-5.447918471901403e-08
-2.134144683196837e-08,-5.447912965195201e-08
-2.1341464595536763e-08,-5.4479075473068406e-08
-2.1341484135461997e-08,-5.4479021294184804e-08
-2.134150189903039e-08,-5.44789671153012e-08
-2.1341519662598785e-08,-5.44789129364176e-08
-2.134153742616718e-08,-5.447885786935558e-08
-2.1341557854270832e-08,-5.447880369047198e-08
-2.1341575617839226e-08,-5.4478749511588376e-08
-2.134159426958604e-08,-5.4478695332704774e-08
-2.1341612921332853e-08,-5.447864026564275e-08
-2.1341630684901247e-08,-5.447858697493757e-08
-2.134164933664806e-08,-5.447853190787555e-08
-2.1341667988394875e-08,-5.447847772899195e-08
-2.134168486378485e-08,-5.4478423550108346e-08
-2.1341703515531663e-08,-5.4478368483046324e-08
-2.1341723943635316e-08,-5.447831519234114e-08
-2.134173993084687e-08,-5.447826012527912e-08
-2.1341759470772104e-08,-5.447820594639552e-08
-2.1341778122518917e-08,-5.44781508793335e-08
-2.134179588608731e-08,-5.4478096700449896e-08
-2.1341813649655705e-08,-5.4478042521566294e-08
-2.134183230140252e-08,-5.447798834268269e-08
-2.1341850953149333e-08,-5.447793327562067e-08
-2.1341868716717727e-08,-5.447787998491549e-08
-2.134188736846454e-08,-5.447782491785347e-08
-2.1341906020211354e-08,-5.4477770738969866e-08
-2.1341923783779748e-08,-5.4477716560086265e-08
-2.1341942435526562e-08,-5.447766149302424e-08
